Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_1,Tunnel,Houston,1/1/2020,9/26/2021,12260784,15054504.05,2793720.046,699,813.9148521,114.9148521,1.534172171,2.809384781,471.1973806,18.54155503,49.88337244,Snowy,210,25202.99469,244.8433101,6602,76.30018368,8,6.192198171,52.98833038,0,95.0063431,High
PJT_2,Dam,Houston,1/2/2020,12/6/2020,2369277,3507053.962,1137776.962,269,384.1182208,115.1182208,0.687978895,3.704416034,355.1551257,23.31677191,58.64127206,Snowy,195,49066.17254,263.1230255,7121,63.5276713,5,2.134473481,50.88574548,0,25.2948242,Low
PJT_3,Building,Houston,1/3/2020,12/5/2021,23299783,21692126.7,-1607656.298,899,1081.777915,182.7779151,0.951146147,3.309301561,236.4934156,42.95787717,36.16591652,Cloudy,127,48192.54716,608.9850232,9956,47.09944438,2,3.113728237,93.90583611,0,97.47882975,Medium
PJT_4,Dam,Houston,1/4/2020,4/12/2022,24499306,29469660.5,4970354.498,809,974.5656547,165.5656547,0.870396185,1.777648986,360.290394,22.42089417,72.0451775,Cloudy,71,19811.15175,673.5743438,3725,86.84639409,5,4.070100814,90.45431579,1,95.09813074,High
PJT_5,Dam,Seattle,1/5/2020,2/12/2022,1749971,2329338.044,579367.0436,354,347.9901267,-6.009873281,1.969769982,4.044292695,204.7908363,15.91449077,57.23918228,Cloudy,113,44866.56517,765.4761223,4368,61.8271631,6,2.759350657,78.39106903,0,43.62498506,Low
PJT_6,Road,Seattle,1/6/2020,9/18/2020,16711072,23689353.01,6978281.014,255,379.8591498,124.8591498,0.655273018,1.473506849,174.7662874,21.53708942,76.63241852,Sunny,70,43142.51184,262.9453244,4497,84.16324087,6,2.351204612,99.93616273,0,98.45922625,Low
PJT_7,Building,Los Angeles,1/7/2020,11/25/2021,47109273,47465106.63,355833.6349,792,831.5871177,39.58711774,0.660152753,2.856064589,498.5074751,41.03453464,74.6512911,Cloudy,178,14480.61788,963.1063781,9174,70.77873051,7,1.523779931,97.65260361,0,13.22597371,Low
PJT_8,Building,New York,1/8/2020,9/19/2021,42776934,59032258.28,16255324.28,842,794.8635269,-47.13647312,0.773641597,3.726988696,387.855604,35.56079801,35.05033378,Rainy,290,33093.06804,674.8653307,6642,84.31972321,3,8.85792309,82.75544854,0,69.46754994,High
PJT_9,Building,Houston,1/9/2020,3/17/2021,25527188,31439903.66,5912715.658,579,751.4770069,172.4770069,1.172728754,1.894779549,340.1239898,7.763830335,70.09448854,Cloudy,156,8270.704202,862.342227,9774,94.43737369,0,3.600490762,73.22872835,0,33.95330238,Medium
PJT_10,Dam,Los Angeles,1/10/2020,5/23/2021,5460276,6213423.931,753147.9315,250,314.3049555,64.30495552,0.579413214,1.513838038,209.8803394,3.048990001,76.00380856,Rainy,165,42651.98243,586.0591438,5766,95.26177096,5,3.612885435,57.60853581,0,21.65167869,Medium
